Présent: mesurer,"Je mesure, Tu mesures, Il/elle mesure, Nous mesurons, Vous mesurez, Ils/elles mesurent",Medir; avaliar; determinar; ...
Futur: mesurer,"Je mesurerai, Tu mesureras, Il/elle mesurera, Nous mesurerons, Vous mesurerez, Ils/elles mesureront",Medir; avaliar; determinar; ...
Passé composé (avec avoir): mesurer,"J'ai mesuré, Tu as mesuré, Il/elle a mesuré, Nous avons mesuré, Vous avez mesuré, Ils/elles ont mesuré",Medir; avaliar; determinar; ...
Présent: peser,"Je pèse, Tu pèses, Il/elle pèse, Nous pesons, Vous pesez, Ils/elles pèsent",Pesar; influenciar; ponderar; ...
Futur: peser,"Je pèserai, Tu pèseras, Il/elle pèsera, Nous pèserons, Vous pèserez, Ils/elles pèseront",Pesar; influenciar; ponderar; ...
Passé composé (avec avoir): peser,"J'ai pesé, Tu as pesé, Il/elle a pesé, Nous avons pesé, Vous avez pesé, Ils/elles ont pesé",Pesar; influenciar; ponderar; ...
Présent: représenter,"Je représente, Tu représentes, Il/elle représente, Nous représentons, Vous représentez, Ils/elles représentent",Representar; constituir; apresentar; ...
Futur: représenter,"Je représenterai, Tu représenteras, Il/elle représentera, Nous représenterons, Vous représenterez, Ils/elles représenteront",Representar; constituir; apresentar; ...
Passé composé (avec avoir): représenter,"J'ai représenté, Tu as représenté, Il/elle a représenté, Nous avons représenté, Vous avez représenté, Ils/elles ont représenté",Representar; constituir; apresentar; ...
Présent: attendre,"J'attends, Tu attends, Il/elle attend, Nous attendons, Vous attendez, Ils/elles attendent",Esperar; aguardar; ficar; ...
Futur: attendre,"J'attendrai, Tu attendras, Il/elle attendra, Nous attendrons, Vous attendrez, Ils/elles attendront",Esperar; aguardar; ficar; ...
Passé composé (avec avoir): attendre,"J'ai attendu, Tu as attendu, Il/elle a attendu, Nous avons attendu, Vous avez attendu, Ils/elles ont attendu",Esperar; aguardar; ficar; ...
Présent: habiter,"J'habite, Tu habites, Il/elle habite, Nous habitons, Vous habitez, Ils/elles habitent",Viver; habitar; morar; ...
Futur: habiter,"J'habiterai, Tu habiteras, Il/elle habitera, Nous habiterons, Vous habiterez, Ils/elles habiteront",Viver; habitar; morar; ...
Passé composé (avec avoir): habiter,"J'ai habité, Tu as habité, Il/elle a habité, Nous avons habité, Vous avez habité, Ils/elles ont habité",Viver; habitar; morar; ...
Présent: monter,"Je monte, Tu montes, Il/elle monte, Nous montons, Vous montez, Ils/elles montent",Subir; montar; entrar; ...
Futur: monter,"Je monterai, Tu monteras, Il/elle montera, Nous monterons, Vous monterez, Ils/elles monteront",Subir; montar; entrar; ...
Passé composé (avec avoir): monter,"J'ai monté, Tu as monté, Il/elle a monté, Nous avons monté, Vous avez monté, Ils/elles ont monté",Subir; montar; entrar; ...
Passé composé (avec être): monter,"Je suis monté, Tu es monté, Il est monté, Elle est montée, Nous sommes montés, Vous êtes montés, Ils sont montés, Elles sont montées",Subir; montar; entrar; ...
Présent: sonner,"Je sonne, Tu sonnes, Il/elle sonne, Nous sonnons, Vous sonnez, Ils/elles sonnent",Tocar; soar; bater; ...
Futur: sonner,"Je sonnerai, Tu sonneras, Il/elle sonnera, Nous sonnerons, Vous sonnerez, Ils/elles sonneront",Tocar; soar; bater; ...
Passé composé (avec avoir): sonner,"J'ai sonné, Tu as sonné, Il/elle a sonné, Nous avons sonné, Vous avez sonné, Ils/elles ont sonné",Tocar; soar; bater; ...
Passé composé (avec être): sonner,"Je suis sonné, Tu es sonné, Il est sonné, Elle est sonnée, Nous sommes sonnés, Vous êtes sonnés, Ils sont sonnés, Elles sont sonnées",Tocar; soar; bater; ...
Présent: dire,"Je dis, Tu dis, Il/elle dit, Nous disons, Vous dites, Ils/elles disent",Dizer; contar; falar; ...
Futur: dire,"Je dirai, Tu diras, Il/elle dira, Nous dirons, Vous direz, Ils/elles diront",Dizer; contar; falar; ...
Passé composé (avec avoir): dire,"J'ai dit, Tu as dit, Il/elle a dit, Nous avons dit, Vous avez dit, Ils/elles ont dit",Dizer; contar; falar; ...
Présent: épouser,"J'épouse, Tu épouses, Il/elle épouse, Nous épousons, Vous épousez, Ils/elles épousent",Casar com; casar; desposar; ...
Futur: épouser,"J'épouserai, Tu épouseras, Il/elle épousera, Nous épouserons, Vous épouserez, Ils/elles épouseront",Casar com; casar; desposar; ...
Passé composé (avec avoir): épouser,"J'ai épousé, Tu as épousé, Il/elle a épousé, Nous avons épousé, Vous avez épousé, Ils/elles ont épousé",Casar com; casar; desposar; ...
Présent: mettre,"Je mets, Tu mets, Il/elle met, Nous mettons, Vous mettez, Ils/elles mettent",Pôr; colocar; fazer; ...
Futur: mettre,"Je mettrai, Tu mettras, Il/elle mettra, Nous mettrons, Vous mettrez, Ils/elles mettront",Pôr; colocar; fazer; ...
Passé composé (avec avoir): mettre,"J'ai mis, Tu as mis, Il/elle a mis, Nous avons mis, Vous avez mis, Ils/elles ont mis",Pôr; colocar; fazer; ...
Présent: prendre,"Je prends, Tu prends, Il/elle prend, Nous prenons, Vous prenez, Ils/elles prennent",Tomar; levar; ter; ...
Futur: prendre,"Je prendrai, Tu prendras, Il/elle prendra, Nous prendrons, Vous prendrez, Ils/elles prendront",Tomar; levar; ter; ...
Passé composé (avec avoir): prendre,"J'ai pris, Tu as pris, Il/elle a pris, Nous avons pris, Vous avez pris, Ils/elles ont pris",Tomar; levar; ter; ...
Présent: visiter,"Je visite, Tu visites, Il/elle visite, Nous visitons, Vous visitez, Ils/elles visitent",Visitar; ver; conhecer; ...
Futur: visiter,"Je visiterai, Tu visiteras, Il/elle visitera, Nous visiterons, Vous visiterez, Ils/elles visiteront",Visitar; ver; conhecer; ...
Passé composé (avec avoir): visiter,"J'ai visité, Tu as visité, Il/elle a visité, Nous avons visité, Vous avez visité, Ils/elles ont visité",Visitar; ver; conhecer; ...
Présent: aller,"Je vais, Tu vas, Il/elle va, Nous allons, Vous allez, Ils/elles vont",Ir; ir para; chegar; ...
Futur: aller,"J'irai, Tu iras, Il/elle ira, Nous irons, Vous irez, Ils/elles iront",Ir; ir para; chegar; ...
Passé composé (avec être): aller,"Je suis allé, Tu es allé, Il est allé, Elle est allée, Nous sommes allés, Vous êtes allés, Ils sont allés, Elles sont allées",Ir; ir para; chegar; ...
Présent: venir,"Je viens, Tu viens, Il/elle vient, Nous venons, Vous venez, Ils/elles viennent",Ver; ir; chegar; ...
Futur: venir,"Je viendrai, Tu viendras, Il/elle viendra, Nous viendrons, Vous viendrez, Ils/elles viendront",Ver; ir; chegar; ...
Passé composé (avec être): venir,"Je suis venu, Tu es venu, Il est venu, Elle est venue, Nous sommes venus, Vous êtes venus, Ils sont venus, Elles sont venues",Ver; ir; chegar; ...
Présent: apporter,"J'apporte, Tu apportes, Il/elle apporte, Nous apportons, Vous apportez, Ils/elles apportent",Trazer; dar; levar; ...
Futur: apporter,"J'apporterai, Tu apporteras, Il/elle apportera, Nous apporterons, Vous apporterez, Ils/elles apporteront",Trazer; dar; levar; ...
Passé composé (avec avoir): apporter,"J'ai apporté, Tu as apporté, Il/elle a apporté, Nous avons apporté, Vous avez apporté, Ils/elles ont apporté",Trazer; dar; levar; ...
Présent: ajouter,"J'ajoute, Tu ajoutes, Il/elle ajoute, Nous ajoutons, Vous ajoutez, Ils/elles ajoutent",Adicionar; acrescentar; juntar; ...
Futur: ajouter,"J'ajouterai, Tu ajouteras, Il/elle ajoutera, Nous ajouterons, Vous ajouterez, Ils/elles ajouteront",Adicionar; acrescentar; juntar; ...
Passé composé (avec avoir): ajouter,"J'ai ajouté, Tu as ajouté, Il/elle a ajouté, Nous avons ajouté, Vous avez ajouté, Ils/elles ont ajouté",Adicionar; acrescentar; juntar; ...
Présent: arriver,"J'arrive, Tu arrives, Il/elle arrive, Nous arrivons, Vous arrivez, Ils/elles arrivent",Chegar; acontecer; conseguir; ...
Futur: arriver,"J'arriverai, Tu arriveras, Il/elle arrivera, Nous arriverons, Vous arriverez, Ils/elles arriveront",Chegar; acontecer; conseguir; ...
Passé composé (avec être): arriver,"Je suis arrivé, Tu es arrivé, Il est arrivé, Elle est arrivée, Nous sommes arrivés, Vous êtes arrivés, Ils sont arrivés, Elles sont arrivées",Chegar; acontecer; conseguir; ...
Présent: coucher,"Je couche, Tu couches, Il/elle couche, Nous couchons, Vous couchez, Ils/elles couchent",Dormir; deitar; desistir; ...
Futur: coucher,"Je coucherai, Tu coucheras, Il/elle couchera, Nous coucherons, Vous coucherez, Ils/elles coucheront",Dormir; deitar; desistir; ...
Passé composé (avec avoir): coucher,"J'ai couché, Tu as couché, Il/elle a couché, Nous avons couché, Vous avez couché, Ils/elles ont couché",Dormir; deitar; desistir; ...
Présent: passer,"Je passe, Tu passes, Il/elle passe, Nous passons, Vous passez, Ils/elles passent",Passar; fazer; ir; ...
Futur: passer,"Je passerai, Tu passeras, Il/elle passera, Nous passerons, Vous passerez, Ils/elles passeront",Passar; fazer; ir; ...
Passé composé (avec avoir): passer,"J'ai passé, Tu as passé, Il/elle a passé, Nous avons passé, Vous avez passé, Ils/elles ont passé",Passar; fazer; ir; ...
Passé composé (avec être): passer,"Je suis passé, Tu es passé, Il est passé, Elle est passée, Nous sommes passés, Vous êtes passés, Ils sont passés, Elles sont passées",Passar; fazer; ir; ...
Présent: remercier,"Je remercie, Tu remercies, Il/elle remercie, Nous remercions, Vous remerciez, Ils/elles remercient",Agradecer; felicitar; dar graças; ...
Futur: remercier,"Je remercierai, Tu remercieras, Il/elle remerciera, Nous remercierons, Vous remercierez, Ils/elles remercieront",Agradecer; felicitar; dar graças; ...
Passé composé (avec avoir): remercier,"J'ai remercié, Tu as remercié, Il/elle a remercié, Nous avons remercié, Vous avez remercié, Ils/elles ont remercié",Agradecer; felicitar; dar graças; ...
Présent: boire,"Je bois, Tu bois, Il/elle boit, Nous buvons, Vous buvez, Ils/elles boivent",Beber; tomar; consumir; ...
Futur: boire,"Je boirai, Tu boiras, Il/elle boira, Nous boirons, Vous boirez, Ils/elles boiront",Beber; tomar; consumir; ...
Passé composé (avec avoir): boire,"J'ai bu, Tu as bu, Il/elle a bu, Nous avons bu, Vous avez bu, Ils/elles ont bu",Beber; tomar; consumir; ...
Présent: servir,"Je sers, Tu sers, Il/elle sert, Nous servons, Vous servez, Ils/elles servent",Servir; usar; atender; ...
Futur: servir,"Je servirai, Tu serviras, Il/elle servira, Nous servirons, Vous servirez, Ils/elles serviront",Servir; usar; atender; ...
Passé composé (avec avoir): servir,"J'ai servi, Tu as servi, Il/elle a servi, Nous avons servi, Vous avez servi, Ils/elles ont servi",Servir; usar; atender; ...
Présent: déjeuner,"Je déjeune, Tu déjeunes, Il/elle déjeune, Nous déjeunons, Vous déjeunez, Ils/elles déjeunent",Almoçar; lanchar; tomar café da manhã; ...
Futur: déjeuner,"Je déjeunerai, Tu déjeuneras, Il/elle déjeunera, Nous déjeunerons, Vous déjeunerez, Ils/elles déjeuneront",Almoçar; lanchar; tomar café da manhã; ...
Passé composé (avec avoir): déjeuner,"J'ai déjeuné, Tu as déjeuné, Il/elle a déjeuné, Nous avons déjeuné, Vous avez déjeuné, Ils/elles ont déjeuné",Almoçar; lanchar; tomar café da manhã; ...
Présent: manger,"Je mange, Tu manges, Il/elle mange, Nous mangeons, Vous mangez, Ils/elles mangent",Almoçar; consumir; devorar; ...
Futur: manger,"Je mangerai, Tu mangeras, Il/elle mangera, Nous mangerons, Vous mangerez, Ils/elles mangeront",Almoçar; consumir; devorar; ...
Passé composé (avec avoir): manger,"J'ai mangé, Tu as mangé, Il/elle a mangé, Nous avons mangé, Vous avez mangé, Ils/elles ont mangé",Almoçar; consumir; devorar; ...
Présent: préparer,"Je prépare, Tu prépares, Il/elle prépare, Nous préparons, Vous préparez, Ils/elles préparent",Preparar; fazer; elaborar; ...
Futur: préparer,"Je préparerai, Tu prépareras, Il/elle préparera, Nous préparerons, Vous préparerez, Ils/elles prépareront",Preparar; fazer; elaborar; ...
Passé composé (avec avoir): préparer,"J'ai préparé, Tu as préparé, Il/elle a préparé, Nous avons préparé, Vous avez préparé, Ils/elles ont préparé",Preparar; fazer; elaborar; ...
